date,Return,Param_VaR,HS_VaR,FHS_VaR,ES_975,Regime,Ex_Param,Ex_HS,Ex_FHS
2005-12-29,-0.0044532644135187,0.01489327150326048,0.014030318260190832,,,Pre-GFC,0,0,0
2005-12-30,-0.0054317436627249,0.014777310923648956,0.014030318260190832,0.012935539109577374,0.014379093377303571,Pre-GFC,0,0,0
2006-01-03,0.0175889082388738,0.01485572103805795,0.014030318260190832,0.013056466080791156,0.014379093377303571,Pre-GFC,0,0,0
2006-01-04,0.0047356433639065,0.014854859102904357,0.014030318260190832,0.017739601584961337,0.014379093377303571,Pre-GFC,0,0,0
2006-01-05,0.0006283896159844,0.014844315456423203,0.014030318260190832,0.01634624163211093,0.014379093377303571,Pre-GFC,0,0,0
2006-01-06,0.0083215969929721,0.014861379428080268,0.014030318260190832,0.015117500760863274,0.014379093377303571,Pre-GFC,0,0,0
2006-01-09,0.0025693085865883,0.014788782278815839,0.014030318260190832,0.015195971508729478,0.014379093377303571,Pre-GFC,0,0,0
2006-01-10,0.0010094742250685,0.014792302890295778,0.014030318260190832,0.014313976777022485,0.014379093377303571,Pre-GFC,0,0,0
2006-01-11,0.0031807914591523,0.014701687130688324,0.014030318260190832,0.013477242640862721,0.014379093377303571,Pre-GFC,0,0,0
2006-01-12,-0.0039439719115917,0.014735750172513022,0.014030318260190832,0.012999842169027952,0.014379093377303571,Pre-GFC,0,0,0
2006-01-13,-0.0009317546366828,0.014710688734846848,0.014030318260190832,0.012846507864784019,0.014379093377303571,Pre-GFC,0,0,0
2006-01-17,-0.002719855603349,0.01460154966501251,0.014030318260190832,0.012465123252664714,0.014379093377303571,Pre-GFC,0,0,0
2006-01-18,-0.0039741447210452,0.014576370419387903,0.014030318260190832,0.012342582227405799,0.014379093377303571,Pre-GFC,0,0,0
2006-01-19,0.0038335002347051,0.014513501481486881,0.014030318260190832,0.01241758563280458,0.014379093377303571,Pre-GFC,0,0,0
2006-01-20,-0.0182370589702606,0.014825252634036227,0.014475181396761155,0.012286007468071297,0.014379093377303571,Pre-GFC,1,1,1
2006-01-23,0.0035722552705228,0.014825247838242229,0.014475181396761155,0.018887254517413257,0.015121026219030716,Pre-GFC,0,0,0
2006-01-24,0.0010283578710388,0.014828593740914962,0.014475181396761155,0.017548223014950272,0.015121026219030716,Pre-GFC,0,0,0
2006-01-25,0.00086922953293,0.014830875316573818,0.014475181396761155,0.016495121621729964,0.015121026219030716,Pre-GFC,0,0,0
2006-01-26,0.0055265828035186,0.014827364011996415,0.014475181396761155,0.01569757280752096,0.015121026219030716,Pre-GFC,0,0,0
2006-01-27,0.0092650124900675,0.014846948614039917,0.014475181396761155,0.015432273760533546,0.015121026219030716,Pre-GFC,0,0,0
2006-01-30,-0.0007778979729679,0.014851395166639013,0.014475181396761155,0.01597589117353957,0.015121026219030716,Pre-GFC,0,0,0
2006-01-31,-0.0073186077963468,0.014929957307031408,0.014475181396761155,0.015310057624623754,0.015121026219030716,Pre-GFC,0,0,0
2006-02-01,0.0069803843137252,0.014916312112858095,0.014475181396761155,0.01556407681029713,0.015121026219030716,Pre-GFC,0,0,0
2006-02-02,-0.0116052419316553,0.015031244371077598,0.014475181396761155,0.015555494980896076,0.015121026219030716,Pre-GFC,0,0,0
2006-02-03,-0.0049645783299514,0.015063522380586974,0.014475181396761155,0.016874625068508214,0.015121026219030716,Pre-GFC,0,0,0
2006-02-06,0.0026134553563028,0.015060997376143753,0.014475181396761155,0.016304400455149734,0.015121026219030716,Pre-GFC,0,0,0
2006-02-07,-0.0088467220986844,0.015082712074610627,0.014475181396761155,0.01555292265111139,0.015121026219030716,Pre-GFC,0,0,0
2006-02-08,0.0090851129482361,0.01510751495313389,0.014475181396761155,0.016081778945825385,0.015121026219030716,Pre-GFC,0,0,0
2006-02-09,-0.0016584978283405,0.015102550124836191,0.014475181396761155,0.016272007775979674,0.015121026219030716,Pre-GFC,0,0,0
2006-02-10,0.0018194366958488,0.015093226054972713,0.014475181396761155,0.015578064663973464,0.015121026219030716,Pre-GFC,0,0,0
2006-02-13,-0.0018161323579921,0.015110052399003511,0.014475181396761155,0.014777506850737593,0.015121026219030716,Pre-GFC,0,0,0
2006-02-14,0.0106003952028985,0.015145273197938312,0.014475181396761155,0.014048800839030975,0.015121026219030716,Pre-GFC,0,0,0
2006-02-15,0.0035224814090017,0.0150562135017295,0.014475181396761155,0.014704641198629449,0.015121026219030716,Pre-GFC,0,0,0
2006-02-16,0.0074883543093999,0.015066717769345128,0.014475181396761155,0.014286424828988085,0.015121026219030716,Pre-GFC,0,0,0
2006-02-17,-0.0027098636509795,0.014860043748801966,0.014030318260190832,0.014358573663812952,0.015121026219030716,Pre-GFC,0,0,0
2006-02-21,-0.0024842248658371,0.014872010857367746,0.014030318260190832,0.013941904220956387,0.01486033709066527,Pre-GFC,0,0,0
2006-02-22,0.0060705033049068,0.014869570621434382,0.014030318260190832,0.013557186405900652,0.01486033709066527,Pre-GFC,0,0,0
2006-02-23,-0.0014698073344222,0.01485245521014323,0.014030318260190832,0.013609949915304686,0.01486033709066527,Pre-GFC,0,0,0
2006-02-24,0.0025565695296472,0.014784834879613035,0.014030318260190832,0.013194172932345687,0.01486033709066527,Pre-GFC,0,0,0
2006-02-27,0.0003863920752216,0.014787933510187505,0.014030318260190832,0.01290245780984306,0.01486033709066527,Pre-GFC,0,0,0
