date,SPY,TLT
2005-01-03,81.33047210584641,44.30725104856779
2005-01-04,80.33665770564173,43.84290866097293
2005-01-05,79.78228542414816,44.077576319219794
2005-01-06,80.18792300283579,44.10753389261301
2005-01-07,80.07299284005332,44.207392470590406
2005-01-10,80.45158719236044,44.27729347517458
2005-01-11,79.89721491086686,44.53692577791579
2005-01-12,80.16087977645527,44.59684092470222
2005-01-13,79.5186212346235,45.026232810005
2005-01-14,79.93777738421448,45.021239881106126
2005-01-18,80.76933783464612,45.17102774807221
2005-01-19,79.92425813724738,45.30084389944282
2005-01-20,79.43749155548194,45.39071661962247
2005-01-21,78.95072497371652,45.44064590861117
2005-01-24,78.79523301365018,45.635370135667074
2005-01-25,79.0183299973809,45.2059782503643
2005-01-26,79.25495636903509,45.29085804164508
2005-01-27,79.39016709242762,45.2059782503643
2005-01-28,79.39016709242762,45.66033478016142
2005-01-31,79.88369633996352,45.790150931532025
2005-02-01,80.39074415840277,45.71755374534247
2005-02-02,80.63412237880729,45.82280134769417
2005-02-03,80.42454396597992,45.78270702298875
2005-02-04,81.28314764279207,46.43423979945165
2005-02-07,81.17497541333375,46.78005335003581
2005-02-08,81.26962366337867,47.04567825120914
2005-02-09,80.6611656051878,47.170973015913546
2005-02-10,80.95187302109298,46.53447561121517
2005-02-11,81.64821801568579,46.50440486768612
2005-02-14,81.58737430566435,46.64974679474322
2005-02-15,81.89160096853662,46.41419263709895
2005-02-16,81.94568742129766,46.23877996651279
2005-02-17,81.28314764279207,45.948096112398574
2005-02-18,81.39131513980409,45.53712928416813
2005-02-22,80.18116033706532,45.33665766064108
2005-02-23,80.75581385523272,45.48701137828637
2005-02-24,81.28990490005248,45.38677556652285
2005-02-25,82.0944221241036,45.6072943524026
2005-02-28,81.55356908957712,45.11613887476133
2005-03-01,81.95921140071107,45.10225621483209
2005-03-02,81.91864419491715,45.04192547415904
2005-03-03,81.95244941100437,45.01678766554527
2005-03-04,82.97330703758956,45.50446115265247
2005-03-07,83.0138695109372,45.68545337467163
2005-03-08,82.7028808583582,45.25308306651473
2005-03-09,81.78343347152462,44.5140314932698
2005-03-10,81.96596865797147,44.78551982629855
2005-03-11,81.39131513980409,44.45872831431949
2005-03-14,81.89836295824334,44.72518908562549
2005-03-15,81.22229920032434,44.443645629151234
2005-03-16,80.53271687150199,44.715133962179976
2005-03-17,80.69497082127504,44.860933252139866
2005-03-18,80.45638116046784,44.579389795665605
2005-03-21,80.15773894027966,44.45370075259674
2005-03-22,79.34326842608557,44.07663362339014
2005-03-23,79.41113983772226,44.28779121574584
2005-03-24,79.50616103572348,44.37828732675542
2005-03-28,79.6215440644523,44.10679899372667
2005-03-29,79.09213714426184,44.36823220330991
2005-03-30,80.2120385130087,44.58944491911112
2005-03-31,80.06271774227845,44.91120886936741
2005-04-01,79.70299274481818,45.06203572105005
2005-04-04,79.83873624681924,45.051943439813535
2005-04-05,80.21882714737329,44.93588220559358
2005-04-06,80.49710278574001,45.0923125647596
2005-04-07,80.93148850792926,44.72899044024498
2005-04-08,80.08986752864297,44.885420799410994
2005-04-11,80.15095030591506,45.127635549087415
2005-04-12,80.56497487610439,45.54646522040289
2005-04-13,79.61476018118155,45.43545012680119
2005-04-14,78.57630274170673,45.36480415814557
2005-04-15,77.47676727605365,45.96529489171835
2005-04-18,77.7143206104205,45.92997190739054
2005-04-19,78.3319655240691,46.374032281797305
2005-04-20,77.23921326295908,46.25797104757736
2005-04-21,78.73920078116615,45.79372611069756
