date,SPY,TLT,Regime
2005-01-04,-0.01221945937939839,-0.01048005409060171,Pre-GFC
2005-01-05,-0.006900614206839739,0.005352465550620522,Pre-GFC
2005-01-06,0.0050843063285430645,0.0006796556411419186,Pre-GFC
2005-01-07,-0.0014332602526493377,0.0022639800769754803,Pre-GFC
2005-01-10,0.004728115421679835,0.0015812062344704447,Pre-GFC
2005-01-11,-0.006890756302520895,0.0058637798827243515,Pre-GFC
2005-01-12,0.003300050770011831,0.0013452914798206539,Pre-GFC
2005-01-13,-0.00801211942312563,0.00962830273175097,Pre-GFC
2005-01-14,0.005271169734624159,-0.00011088933244629562,Pre-GFC
2005-01-18,0.010402596590030289,0.0033270489076189236,Pre-GFC
2005-01-19,-0.010462877622307909,0.0028738808444788155,Pre-GFC
2005-01-20,-0.006090348451274319,0.0019839082993495794,Pre-GFC
2005-01-21,-0.00612766808510623,0.001099989000110213,Pre-GFC
2005-01-24,-0.0019694810923915895,0.004285243379848369,Pre-GFC
2005-01-25,0.0028313512784723383,-0.009409190371991172,Pre-GFC
2005-01-26,0.002994575709990732,0.0018776231499888496,Pre-GFC
2005-01-27,0.001706022305569821,-0.0018741042883915204,Pre-GFC
2005-01-28,0.0,0.010050806273470103,Pre-GFC
2005-01-31,0.006216503448863264,0.0028430836522690406,Pre-GFC
2005-02-01,0.006347325445249741,-0.0015854323410749993,Pre-GFC
2005-02-02,0.003027440819865612,0.002302126726595022,Pre-GFC
2005-02-03,-0.0025991280942180284,-0.0008749863283387116,Pre-GFC
2005-02-04,0.010675891145560668,0.014230979748221184,Pre-GFC
2005-02-07,-0.0013308075855242851,0.00744738262277389,Pre-GFC
2005-02-08,0.001165978179395566,0.005678165845296679,Pre-GFC
2005-02-09,-0.007486906309682406,0.002663257696814858,Pre-GFC
2005-02-10,0.00360405671953834,-0.013493412664683513,Pre-GFC
2005-02-11,0.008601962729279489,-0.0006462035541194844,Pre-GFC
2005-02-14,-0.0007451933612285799,0.003125336781980792,Pre-GFC
2005-02-15,0.0037288448790187,-0.00504941985388907,Pre-GFC
2005-02-16,0.0006604639806935264,-0.0037792894935751997,Pre-GFC
2005-02-17,-0.008085108556101894,-0.006286581400390179,Pre-GFC
2005-02-18,0.0013307493637841894,-0.008944153577661429,Pre-GFC
2005-02-22,-0.014868352976728727,-0.004402377283733383,Pre-GFC
2005-02-23,0.007166939412595941,0.003316382931682682,Pre-GFC
2005-02-24,0.006613654414742154,-0.0022036139268398758,Pre-GFC
2005-02-25,0.009896889718843838,0.004858657243816289,Pre-GFC
2005-02-28,-0.006588182491970795,-0.010769230769230864,Pre-GFC
2005-03-01,0.0049739369553329915,-0.0003077093979114709,Pre-GFC
2005-03-02,-0.0004949682299355551,-0.0013376435180023627,Pre-GFC
2005-03-03,0.0004126681589942116,-0.0005580980020088999,Pre-GFC
2005-03-04,0.01245670671129595,0.0108331471967833,Pre-GFC
2005-03-07,0.0004888617170490939,0.003977461054027076,Pre-GFC
2005-03-08,-0.0037462252321345257,-0.009464069549906418,Pre-GFC
2005-03-09,-0.011117477133696041,-0.016331518720142157,Pre-GFC
2005-03-10,0.0022319335187903633,0.006098938332956827,Pre-GFC
2005-03-11,-0.007010879363425815,-0.007296811854512919,Pre-GFC
2005-03-14,0.00622975335351561,0.005993441139884759,Pre-GFC
2005-03-15,-0.008254911740588677,-0.006294964028776828,Pre-GFC
2005-03-16,-0.00849006166547428,0.0061085972850676296,Pre-GFC
2005-03-17,0.00201475817625707,0.00326062514054426,Pre-GFC
2005-03-18,-0.0029566856320653034,-0.006275916171691098,Pre-GFC
2005-03-21,-0.0037118525079141707,-0.0028194428780873304,Pre-GFC
2005-03-22,-0.010160846912122823,-0.008482243836236192,Pre-GFC
2005-03-23,0.00085541486988161,0.004790692369111671,Pre-GFC
2005-03-24,0.0011965726495728468,0.0020433647406061795,Pre-GFC
2005-03-28,0.0014512463842515366,-0.006117593746459704,Pre-GFC
2005-03-29,-0.006649041115830534,0.0059272768722213875,Pre-GFC
2005-03-30,0.014159452623010882,0.0049858356940513104,Pre-GFC
2005-03-31,-0.0018615755627009456,0.007216146126958645,Pre-GFC
2005-04-01,-0.0044930400516534075,0.0033583342662040216,Pre-GFC
2005-04-04,0.0017031167504044653,-0.0002239641657334479,Pre-GFC
2005-04-05,0.004760732927673317,-0.002576164874552145,Pre-GFC
2005-04-06,0.0034689567058303616,0.00348119034250427,Pre-GFC
2005-04-07,0.005396290141590043,-0.008057296329453845,Pre-GFC
2005-04-08,-0.0103991783025692,0.003497292418772391,Pre-GFC
2005-04-11,0.0007626779661016325,0.005396290050590391,Pre-GFC
2005-04-12,0.0051655603409455075,0.009281001900928176,Pre-GFC
2005-04-13,-0.011794389514601211,-0.002437403057833021,Pre-GFC
2005-04-14,-0.013043529078170635,-0.001554864504664688,Pre-GFC
2005-04-15,-0.013993219676769919,0.013236929922135765,Pre-GFC
2005-04-18,0.0030661234679609795,-0.0007684707432210613,Pre-GFC
2005-04-19,0.007947633187773029,0.009668204790156176,Pre-GFC
2005-04-20,-0.013950272456450086,-0.0025027203482045346,Pre-GFC
2005-04-21,0.019420025850087175,-0.010035998690956616,Pre-GFC
2005-04-22,-0.003792793659291638,0.00793388429752051,Pre-GFC
2005-04-25,0.006576118369819195,0.002951787471302092,Pre-GFC
2005-04-26,-0.00971378819369395,-0.001526051885764157,Pre-GFC
2005-04-27,0.003906293504504221,0.0034934497816596632,Pre-GFC
2005-04-28,-0.012537872675523198,0.007397737162750273,Pre-GFC
2005-04-29,0.01357270613588546,-0.0017278617710584365,Pre-GFC
2005-05-02,0.005615568034557317,-0.0002163565556035918,Pre-GFC
2005-05-03,0.001718178664636083,0.002714735584754102,Pre-GFC
2005-05-04,0.007718713682996814,-0.008771929824561209,Pre-GFC
2005-05-05,-0.00034043404255312826,0.0022943297279580666,Pre-GFC
2005-05-06,-0.003150034080964037,-0.007412252016568699,Pre-GFC
2005-05-09,0.006234554829090522,0.0009883593235229249,Pre-GFC
2005-05-10,-0.010354795450687293,0.007131102578167736,Pre-GFC
2005-05-11,0.005488850866018025,0.003050108932461937,Pre-GFC
2005-05-12,-0.011003079341574296,0.003909643788010397,Pre-GFC
2005-05-13,-0.0019835791802564895,0.0038944180008653184,Pre-GFC
2005-05-16,0.00933288965318968,-0.0011853448275860323,Pre-GFC
2005-05-17,0.006678073458611156,0.0028050490883591017,Pre-GFC
2005-05-18,0.010290857113610219,0.006670252824098721,Pre-GFC
2005-05-19,0.00420910847538436,-0.0025649246553381966,Pre-GFC
2005-05-20,-0.001425081721644239,0.001178613521911398,Pre-GFC
2005-05-23,0.005540597577050166,0.007812500000000222,Pre-GFC
2005-05-24,-0.002337610638984966,0.002760964213656125,Pre-GFC
2005-05-25,-0.0007531046025103239,-0.006989304246531991,Pre-GFC
2005-05-26,0.005359676564452798,-0.00031993174789379797,Pre-GFC
2005-05-27,0.0016659474802345198,0.0010667804565822614,Pre-GFC
2005-05-31,-0.006403301455301436,0.01236146632566082,Pre-GFC
2005-06-01,0.00853696831594486,0.012202105263157792,Pre-GFC
2005-06-02,0.002157692946058054,0.0024005844901366924,Pre-GFC
2005-06-03,-0.005051341420149957,-0.008225739275302013,Pre-GFC
2005-06-06,-0.0009155305715268236,0.005249343832021136,Pre-GFC
2005-06-07,0.000749716754834262,0.007937336814621387,Pre-GFC
2005-06-08,-0.0018312911470397264,-0.0047663454564295105,Pre-GFC
2005-06-09,0.004753556675721526,-0.0008328995314940135,Pre-GFC
2005-06-10,-0.002324086927521063,-0.01125351672397612,Pre-GFC
2005-06-13,0.0031614393467913615,-0.006006955422067861,Pre-GFC
2005-06-14,0.002322101470855653,-0.0065733672603899285,Pre-GFC
2005-06-15,0.0019029869112776598,0.0018143009605120497,Pre-GFC
2005-06-16,0.0025601289143655226,0.005006924470011942,Pre-GFC
2005-06-17,0.0036871416196520013,-0.00010599957600199161,Pre-GFC
2005-06-20,0.0003296061278048601,-0.001696173009646862,Pre-GFC
2005-06-21,0.0005765980135650217,0.00732717425931817,Pre-GFC
2005-06-22,0.0008232402994712285,0.012123128821421192,Pre-GFC
2005-06-23,-0.014065961997203114,-0.0010415581710240263,Pre-GFC
2005-06-24,-0.007341882134641486,0.005004691898655045,Pre-GFC
2005-06-27,0.0014288031241687094,0.0026973752463952394,Pre-GFC
2005-06-28,0.008392782066424243,-0.00682876357992801,Pre-GFC
2005-06-29,-0.0026633374504646534,-0.0015626627773724922,Pre-GFC
2005-06-30,-0.0054243677639258525,0.008973288814691172,Pre-GFC
2005-07-01,0.0029367259607315788,-0.012082730093071259,Pre-GFC
2005-07-05,0.00803144823919899,-0.00945378151260523,Pre-GFC
2005-07-06,-0.008382397018547594,0.005514316012725562,Pre-GFC
2005-07-07,0.003933662438893704,0.002109259649862638,Pre-GFC
2005-07-08,0.011421450890073626,-0.004104399073878939,Pre-GFC
2005-07-11,0.005110468183317174,0.0,Pre-GFC
2005-07-12,0.00262424138716999,-0.005600760858079146,Pre-GFC
2005-07-13,0.0013904629250702794,-0.0014877789585546752,Pre-GFC
2005-07-14,0.0039206403659233224,-0.0025542784163472554,Pre-GFC
2005-07-15,-0.0005695874845143001,0.0026675202731540892,Pre-GFC
2005-07-18,-0.003988912536271982,-0.007449185910397005,Pre-GFC
2005-07-19,0.005476085091558502,0.0035381151495657015,Pre-GFC
2005-07-20,0.003414119738598398,0.005448717948717929,Pre-GFC
2005-07-21,-0.0058328012664808915,-0.013601105089788512,Pre-GFC
2005-07-22,0.006681877390141144,0.007756113325433578,Pre-GFC
2005-07-25,-0.0028330823795280624,-0.003634420096205182,Pre-GFC
2005-07-26,0.001217582576222176,0.0016092693916960332,Pre-GFC
2005-07-27,0.0036484920917299046,-0.0016066838046271403,Pre-GFC
2005-07-28,0.00630098548912672,0.008904623967385561,Pre-GFC
2005-07-29,-0.006662936501565353,-0.00988940876222899,Pre-GFC
2005-08-01,-0.0007272991874462953,-0.0037042208140906085,Pre-GFC
2005-08-02,0.0059846096888862554,-0.003246050638390008,Pre-GFC
2005-08-03,0.0026529624781170824,0.004884932696482602,Pre-GFC
2005-08-04,-0.00801796016662959,-0.0020525008101976994,Pre-GFC
2005-08-05,-0.00678955700946049,-0.00779389478242043,Pre-GFC
2005-08-08,-0.0018717041472583462,-0.0018546803403884926,Pre-GFC
2005-08-09,0.006033403896724021,0.0037162531424199674,Pre-GFC
2005-08-10,-0.00048623875910724923,-0.0010889687465966968,Pre-GFC
2005-08-11,0.003973064072438692,0.006976997710672617,Pre-GFC
2005-08-12,-0.006137958326603132,0.010176464219984638,Pre-GFC
2005-08-15,0.006175865531868441,-0.0025720715893259305,Pre-GFC
2005-08-16,-0.013002753997738536,0.006983990544751295,Pre-GFC
2005-08-17,-8.184273039724133e-05,-0.0066154502774220525,Pre-GFC
2005-08-18,-8.179214603409868e-05,0.007411385606874488,Pre-GFC
2005-08-19,0.002291504995637572,-0.00010662117496551549,Pre-GFC
2005-08-22,0.0,-0.0010663254425249402,Pre-GFC
2005-08-23,-0.001878035421915225,0.0045900939368062055,Pre-GFC
2005-08-24,-0.008916852240131723,0.0009563277016257921,Pre-GFC
2005-08-25,0.003631811743593616,0.0031847133757960666,Pre-GFC
2005-08-26,-0.00682617013985265,-0.00031746031746049397,Pre-GFC
2005-08-29,0.007701225443835336,0.001270244522070696,Pre-GFC
2005-08-30,-0.005259257042332988,0.006343165239454329,Pre-GFC
2005-08-31,0.012639396630167665,0.008404244143292328,Pre-GFC
2005-09-01,-0.0007342470103728349,-0.005998541514741218,Pre-GFC
2005-09-02,-0.0017960731781544448,0.0008413967185527671,Pre-GFC
2005-09-06,0.01169542843777105,-0.007040773434216052,Pre-GFC
2005-09-07,0.001697712248125649,-0.009418986136099039,Pre-GFC
2005-09-08,-0.003308885374582071,0.0010683760683762866,Pre-GFC
2005-09-09,0.008906866396761082,0.0032017075773744796,Pre-GFC
2005-09-12,-0.002006420577952195,-0.006914893617021245,Pre-GFC
2005-09-13,-0.00554880587935358,0.005249062667380899,Pre-GFC
2005-09-14,-0.0036390505049636035,-0.0038363171355499937,Pre-GFC
2005-09-15,-0.00048694911522573214,-0.008237056054771208,Pre-GFC
2005-09-16,0.00707826216681684,-0.006579656994930461,Pre-GFC
2005-09-19,-0.0033198704453442085,0.0021715526601522317,Pre-GFC
2005-09-20,-0.008449045688489476,0.0026002166847238772,Pre-GFC
2005-09-21,-0.00934042582530703,0.009293278582234832,Pre-GFC
2005-09-22,0.003556297955295662,-0.0009635974304070816,Pre-GFC
2005-09-23,0.0008241800172799074,-0.0075018754688671585,Pre-GFC
2005-09-26,0.0011528326555856339,-0.0045351473922903285,Pre-GFC
2005-09-27,-0.00024674288128401223,0.001410131250677793,Pre-GFC
2005-09-28,0.0009872068863709949,0.0067157712305025985,Pre-GFC
2005-09-29,0.008136812823815509,-0.004519044544867623,Pre-GFC
2005-09-30,0.0030979698973432335,-0.0034587116299178433,Pre-GFC
2005-10-03,-0.0035760971750967707,-0.007789587852494617,Pre-GFC
2005-10-04,-0.011256093168941161,0.0032923617208078237,Pre-GFC
2005-10-05,-0.013116680307567408,0.0043754101947055535,Pre-GFC
2005-10-06,-0.003594416206497253,-0.003811805706817384,Pre-GFC
2005-10-07,0.0034396309590511986,0.004045042090302653,Pre-GFC
2005-10-10,-0.008444135035163058,-0.0006533101045296252,Pre-GFC
2005-10-11,-0.0014333727054530732,-0.0020701677925474282,Pre-GFC
2005-10-12,-0.007852740015198978,-0.009717218036903619,Pre-GFC
2005-10-13,-0.0005957446808509959,-0.003638368246967727,Pre-GFC
2005-10-14,0.01055946521331852,-0.0015491866769948848,Pre-GFC
2005-10-17,0.0037077863606267414,-0.0002216557685913445,Pre-GFC
2005-10-18,-0.01083033321442095,0.0011085245538189348,Pre-GFC
2005-10-19,0.016635537260227595,0.0004429188351233737,Pre-GFC
2005-10-20,-0.01761563714823533,0.0026563364692862024,Pre-GFC
2005-10-21,0.0039092292667497475,0.009272546638701806,Pre-GFC
2005-10-24,0.01549142509501622,-0.007765503664005302,Pre-GFC
2005-10-25,-0.0020006502334164455,-0.008597883597883715,Pre-GFC
2005-10-26,-0.002923471408925238,-0.007338225483655703,Pre-GFC
2005-10-27,-0.010639230695168922,0.0035842293906809264,Pre-GFC
2005-10-28,0.014394623444447419,0.00011160714285729512,Pre-GFC
2005-10-31,0.0027545408325240217,0.001897109697578614,Pre-GFC
2005-11-01,0.0029967619161763714,-0.0011525952327913203,Pre-GFC
2005-11-02,0.0104573161334105,-0.0047043010752688685,Pre-GFC
2005-11-03,0.00427102258726908,-0.006752194463200523,Pre-GFC
2005-11-04,-0.001308546691139778,-0.0015862225243598038,Pre-GFC
2005-11-07,0.0009827368685388915,0.0034044484793462892,Pre-GFC
2005-11-08,0.0,0.009726306265550821,Pre-GFC
2005-11-09,0.001308974851289113,-0.010304659498208024,Pre-GFC
2005-11-10,0.007762047616325374,0.012222725215029318,Pre-GFC
2005-11-11,0.0034052700958413507,0.0005590339892664886,Pre-GFC
2005-11-14,-0.0005656108505880386,-0.007486870041345517,Pre-GFC
2005-11-15,-0.003638159857091816,0.006530060797117931,Pre-GFC
2005-11-16,0.0020285621880649085,0.010514541387024678,Pre-GFC
2005-11-17,0.009312503187505206,0.0024352446313926635,Pre-GFC
2005-11-18,0.003931306193287076,-0.004637809187279185,Pre-GFC
2005-11-21,0.005034803924753639,0.0029953405813178957,Pre-GFC
2005-11-22,0.0042939010131377575,0.0013272868045570707,Pre-GFC
2005-11-23,0.005779857344896611,-0.0038661217276039217,Pre-GFC
2005-11-25,0.0007871998802424507,0.00365934797072498,Pre-GFC
2005-11-28,-0.0070793205477698296,0.004971826317534012,Pre-GFC
2005-11-29,-0.0011091420159436982,-0.009454705364995708,Pre-GFC
2005-11-30,-0.005392909997395723,-0.0011098779134294245,Pre-GFC
2005-12-01,0.01020650633262088,-0.001553988888888802,Pre-GFC
2005-12-02,0.0012628936575436178,0.0003353079244439172,Pre-GFC
2005-12-05,-0.002128466726503353,-0.004469273743016866,Pre-GFC
2005-12-06,0.0018960182983722706,0.010213243546576933,Pre-GFC
2005-12-07,-0.0058350260211322835,-0.0037773580713252874,Pre-GFC
2005-12-08,-0.0006345336193761542,0.006468161034905773,Pre-GFC
2005-12-09,0.0026190634920635336,-0.007867036011080186,Pre-GFC
2005-12-12,0.0009498535431038402,-0.0018985928076837855,Pre-GFC
2005-12-13,0.00680111522659832,0.0036925142665322763,Pre-GFC
2005-12-14,0.003927421316902491,0.010256410256410442,Pre-GFC
2005-12-15,-0.002894890898910596,-0.002427720150077306,Pre-GFC
2005-12-16,-0.003204103841743522,0.0033185840707965486,Pre-GFC
2005-12-19,-0.005144048708894844,0.0009922822491730265,Pre-GFC
2005-12-20,0.0009546018690207436,-0.001211587179204665,Pre-GFC
2005-12-21,0.0015894222110877099,-0.0017644464049406672,Pre-GFC
2005-12-22,0.00523687221484459,0.00795404330534688,Pre-GFC
2005-12-23,0.0005525297884199087,0.006137658921525624,Pre-GFC
2005-12-27,-0.010176719624854558,0.008169934640523069,Pre-GFC
2005-12-28,0.0022316011617791176,-0.0027818044300378375,Pre-GFC
2005-12-29,-0.004453264413518787,0.0021760417800023024,Pre-GFC
2005-12-30,-0.005431743662724919,-0.00227988274888713,Pre-GFC
2006-01-03,0.017588908238873824,-0.0013057671381937475,Pre-GFC
2006-01-04,0.004735643363906528,0.002397036391370788,Pre-GFC
2006-01-05,0.0006283896159844371,-0.0011956521739131531,Pre-GFC
2006-01-06,0.008321596992972191,-0.0018500380890195123,Pre-GFC
2006-01-09,0.002569308586588326,0.0006541648495421715,Pre-GFC
2006-01-10,0.001009474225068585,-0.008062758770974066,Pre-GFC
2006-01-11,0.003180791459152399,-0.0016476274165202476,Pre-GFC
2006-01-12,-0.003943971911591793,0.006711409395973034,Pre-GFC
2006-01-13,-0.0009317546366828244,0.005792349726775781,Pre-GFC
2006-01-17,-0.002719855603349086,0.004455068999239531,Pre-GFC
2006-01-18,-0.003974144721045292,0.0014063176114234022,Pre-GFC
2006-01-19,0.0038335002347051894,-0.00464513341255246,Pre-GFC
2006-01-20,-0.018237058970260622,0.002604731929672255,Pre-GFC
2006-01-23,0.0035722552705228505,-0.0003247456159342077,Pre-GFC
2006-01-24,0.001028357871038832,-0.004872766648619242,Pre-GFC
2006-01-25,0.0008692295329300048,-0.010881392818280822,Pre-GFC
2006-01-26,0.005526582803518698,-0.004290429042904553,Pre-GFC
2006-01-27,0.009265012490067503,0.0,Pre-GFC
2006-01-30,-0.0007778979729679003,-0.0009943652635066025,Pre-GFC
2006-01-31,-0.007318607796346854,-0.0008847600088476293,Pre-GFC
2006-02-01,0.006980384313725274,0.00022734115563438628,Pre-GFC
2006-02-02,-0.011605241931655352,0.0018880497556641451,Pre-GFC
2006-02-03,-0.004964578329951452,0.0070945571444407385,Pre-GFC
2006-02-06,0.002613455356302863,0.00198128783709417,Pre-GFC
2006-02-07,-0.008846722098684423,-0.004723717455783927,Pre-GFC
2006-02-08,0.009085112948236107,-0.0023178807947019653,Pre-GFC
2006-02-09,-0.0016584978283405993,0.004535899988936887,Pre-GFC
2006-02-10,0.0018194366958488306,-0.005506607929515406,Pre-GFC
2006-02-13,-0.0018161323579921618,0.00011074197120719553,Pre-GFC
2006-02-14,0.010600395202898572,-0.003543350680987767,Pre-GFC
2006-02-15,0.0035224814090017986,0.002444716079564424,Pre-GFC
2006-02-16,0.0074883543093999805,0.000221704910764009,Pre-GFC
2006-02-17,-0.0027098636509795826,0.00797960766928929,Pre-GFC
2006-02-21,-0.0024842248658371036,-0.0016492578339747377,Pre-GFC
2006-02-22,0.006070503304906882,0.006828193832599139,Pre-GFC
2006-02-23,-0.0014698073344222573,-0.0025158608619558764,Pre-GFC
2006-02-24,0.0025565695296472235,-0.001535256058778356,Pre-GFC
2006-02-27,0.0003863920752216199,-0.0016474464579898651,Pre-GFC
2006-02-28,-0.00950108862577137,0.0014301430143013327,Pre-GFC
2006-03-01,0.008890267765429671,-0.002529517741403864,Pre-GFC
